Ref,Status,Location,Description,Created,Target,Type,To Organisation,To Package,Status Changed,Association,OverDue,Images,Comments,Documents
T80948.616,Opened,Historical Level 1 AE101A>187 - Mens Restroom,Clean up room,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.615,Opened,Historical Level 1 AE101A>187 - Mens Restroom,Caulk,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.614,Opened,Historical Level 1 AE101A>187 - Mens Restroom,Fix caulking at corner,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.613,Opened,Historical Level 1 AE101A,Grout base tile,2023-02-22,2023-03-01,Final Punch List,"Global Stone and Tile, LLC",Tile,2023-02-22,,False,True,False,False
T80948.612,Verified Complete (w/Photo),Historical Level 1 AE101A>187 - Mens Restroom,Missing switch plate,2023-02-22,2023-03-01,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80948.611,Opened,Historical Level 1 AE101A>187 - Mens Restroom,"Grout lines are rough and needed smoother, typ.",2023-02-22,2023-03-01,Final Punch List,"Global Stone and Tile, LLC",Tile,2023-02-22,,False,True,False,False
T80948.610,Opened,Historical Level 1 AE101A>188 - Vestibule,Caulk,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.609,Opened,Historical Level 1 AE101A>188 - Vestibule,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.608,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Clean stone surround,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.607,Opened,Historical Level 1 AE101A>189 - Jan,Clean up room,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.606,Opened,Historical Level 1 AE101A>189 - Jan,Grout base tile,2023-02-22,2023-03-01,Final Punch List,"Global Stone and Tile, LLC",Tile,2023-02-22,,False,True,False,False
T80948.605,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.604,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Sheer drape missing,2023-02-22,2023-03-01,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- General FFE,2023-02-22,,False,True,False,False
T80948.603,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.602,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Caulk,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.601,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.600,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Clean elevator threshold,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.599,Opened,Historical Level 1 AE101A>185 - Elevator Lobby,Paint touch up elevators,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.598,Opened,Historical Level 1 AE101A>Level 1 West Stair,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.597,Opened,Historical Level 1 AE101A>Level 1 West Stair,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.596,Opened,Historical Level 1 AE101A>Level 1 West Stair,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.595,Opened,Historical Level 1 AE101A>Level 1 West Stair,Gate not level,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.594,Opened,Historical Level 1 AE101A>Level 1 West Stair,Remove tape,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.593,Opened,Historical Level 1 AE101A>Level 1 West Stair,Egress gate needs magnetic hardware installed,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.592,Opened,Historical Level 1 AE101A>Level 1 West Stair,"Handrail loose ",2023-02-22,2023-03-01,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-22,,False,True,False,False
T80948.591,Opened,Historical Level 1 AE101A>Level 1 West Stair,"Clean recessed light bezels, typical throughout",2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-22,,False,True,False,False
T80948.590,Verified Complete (w/Photo),Historical Level 1 AE101A>Level 1 West Stair,Fix,2023-02-22,2023-03-01,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-27,,False,True,False,False
T80948.589,Opened,Historical Level 1 AE101A>Level 1 West Stair,Wood floor needs final touch,2023-02-22,2023-03-01,Final Punch List,"CP Build Enterprises, LLC.",,2023-02-22,,False,True,False,False
T80948.588,Opened,Historical Level 1 AE101A>Level 1 West Stair,"Crack at wood finials, typ.",2023-02-22,2023-03-01,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-22,,False,True,False,False
T80948.587,Opened,Historical Level 1 AE101A>Level 1 West Stair,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.586,Opened,Historical Level 1 AE101A>Level 1 West Stair,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.585,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.584,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.583,Opened,Historical Level 0 AE100A>Stairs Level 0,Crack at wood finial,2023-02-22,2023-03-01,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-22,,False,True,False,False
T80948.582,Opened,Historical Level 0 AE100A>Stairs Level 0,"Cleanup around finial, typical",2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.581,Opened,Historical Level 0 AE100A,Clean off overspray,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.580,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.579,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.578,Opened,Historical Level 0 AE100A>Stairs Level 0,Missing cylinder,2023-02-22,2023-03-01,Final Punch List,Desert Edge Architecture,,2023-02-27,,False,True,True,False
T80948.577,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.576,Opened,Historical Level 0 AE100A>Stairs Level 0,Door needs adjusted,2023-02-22,2023-03-01,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-22,,False,True,False,False
T80948.575,Opened,Historical Level 0 AE100A>Stairs Level 0,Paint touch up,2023-02-22,2023-03-01,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-22,,False,True,False,False
T80948.574,Opened,Site Main>Site Area G,"Paint, typical",2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.573,Opened,Historical Level 1 AE101A>Level 1 West Stair,Fix,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-27,,True,True,True,False
T80948.572,Verified Complete (w/Photo),Historical Level 1 AE101A>Level 1 West Stair,Remove tape,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-27,,False,True,False,False
T80948.571,Opened,Historical Level 1 AE101A>Level 1 West Stair,"Handrail loose ",2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-21,,True,True,False,False
T80948.570,Opened,Historical Level 1 AE101A>Level 1 West Stair,Fix caulking,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.569,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,"Handrail loose ",2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-21,,True,True,False,False
T80948.568,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,Clean off overspray,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.567,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,Dust/ paint stringer edge,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-21,,True,True,False,False
T80948.566,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,"Clean and Dust walls, typical",2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-21,,True,True,False,False
T80948.565,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.564,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,"Handrail loose ",2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-21,,True,True,False,False
T80948.563,Opened,Historical Level 2 AE102>Level 2 West Stair Tower,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.562,Opened,Historical Level 3 AE103>Level 2 East Stairs,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.561,Opened,Historical Level 3 AE103>Level 2 East Stairs,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.560,Opened,Historical Level 3 AE103>Level 2 East Stairs,Fix caulking,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.559,Opened,Historical Level 3 AE103>Level 2 East Stairs,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.558,Opened,Historical Level 3 AE103>Level 2 East Stairs,Caulk,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.557,Opened,Historical Level 3 AE103>Level 2 East Stairs,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.556,Opened,Historical Level 3 AE103>Level 2 East Stairs,Clean windows typical,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.555,Opened,Historical Level 3 AE103>Level 2 East Stairs,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.554,Opened,Historical Level 3 AE103>Level 2 East Stairs,Fix caulking,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.553,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.552,Complete,Historical Level 4 AE104>Level 4 East Stair Tower,Cylinder do not line up,2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-25,,True,True,False,False
T80948.551,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.550,Opened,Historical Level 5 AE105>Level 5 East Stair,Remove blue tape from register,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.549,Opened,Historical Level 5 AE105>Level 5 East Stair,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.548,Opened,Historical Level 5 AE105>Level 5 East Stair,Remove blue tape from recess light,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.547,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Switch out boxes to white,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.546,Opened,Historical Level 4 AE104>Level 4 East Stair Tower," Touch up",2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-21,,True,True,False,False
T80948.545,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,"Handrail loose ",2023-02-21,2023-02-28,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-21,,True,True,False,False
T80948.544,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Fix caulking,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.543,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Clean and Dust,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.542,Opened,Historical Level 4 AE104>Level 4 East Stair Tower,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.541,Opened,Historical Level 4 AE104>408 - Assembly Room,"Need seismic joint seals, typical",2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.540,Opened,Historical Level 4 AE104>408 - Assembly Room,Caulk,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.539,Opened,Historical Level 4 AE104>408 - Assembly Room,Clean off overspray,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.538,Verified Complete (w/Photo),Historical Level 4 AE104>408 - Assembly Room,Caulk,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.537,Verified Complete (w/Photo),Historical Level 4 AE104>408 - Assembly Room,"Dust walls, typical",2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-27,,False,False,False,False
T80948.536,Verified Complete (w/Photo),Historical Level 4 AE104>408 - Assembly Room,Crank in crown molding,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",,2023-02-22,,False,True,True,False
T80948.535,Opened,Historical Level 4 AE104>408 - Assembly Room,Crank in crown molding,2023-02-21,2023-02-28,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-21,,True,True,False,False
T80948.534,Opened,Historical Level 4 AE104>408 - Assembly Room,Paint touch up,2023-02-21,2023-02-28,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-21,,True,True,False,False
T80948.533,Opened,Historical Level 4 AE104>408 - Assembly Room,Fix loose speaker wire to ceiling,2023-02-21,2023-02-28,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- General FFE,2023-02-21,,True,True,False,False
